#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
5221,зил 131 фото,0%,нет,20%,-1,
5222,lancer evo,0%,нет,22%,-1,
5223,sylphy nissan,10%,да,21%,-1,
5224,фото ниссан скайлайн,0%,нет,22%,-1,
5225,четырки,0%,нет,14%,-1,
5226,жук фольксваген фото,10%,да,28%,-1,
5227,уаз патриот размер шин,0%,нет,29%,-1,
5228,датчик давления масла как проверить,0%,нет,0%,-1,
5229,упражнение гараж на автодроме пошаговая инструкция,0%,нет,0%,-1,
5230,термостат в машине,0%,нет,10%,-1,
5231,audi c4 a6,10%,да,28%,-1,
5232,q8 rs,0%,нет,25%,-1,
5233,аватар машина цена,60%,да,83%,1,
5234,bmw g70,20%,да,30%,-1,
5235,форд рестайлинг,0%,нет,44%,0,
5236,газ м 20,0%,нет,15%,-1,
5237,хонда цивик купе,30%,да,49%,0,
5238,spada honda,30%,да,30%,-1,
5239,купить хонда стрим,40%,да,98%,1,
5240,мазда 6 2022,10%,да,64%,0,
5241,223 цена мерседес,40%,да,80%,1,
5242,ваз 2141,50%,да,31%,-1,
5243,новая лада цена 2023,30%,да,78%,1,
5244,фольксваген электромобиль цена,20%,да,75%,1,
5245,вольво 2023,20%,да,30%,-1,
5246,вольво s80 купить,70%,да,83%,1,
5247,ktm 390 duke купить,0%,нет,88%,1,
5248,купить мотоцикл в самаре,100%,нет,100%,1,
5249,черный мустанг,0%,нет,17%,-1,
5250,нп 300 ниссан,25%,да,25%,-1,
5251,авто ру луганск,0%,нет,73%,1,
5252,ошибка eps,0%,нет,0%,-1,
5253,как правильно разворачиваться на перекрестке,0%,нет,0%,-1,
5254,купить w124 мерседес,40%,да,66%,1,
5255,xray lada цена,80%,да,100%,1,
5256,фольксваген пассат цц,20%,да,30%,-1,
5257,санта фе хендай 2008,40%,да,52%,0,
5258,паджерик,0%,нет,41%,0,
5259,ниссан nv200,10%,да,18%,-1,
5260,креста тойота 90,13%,да,42%,0,
5261,рав 4 2015,30%,да,45%,0,
5262,семерка сколько стоит,0%,нет,72%,1,
5263,серая гранта,0%,нет,58%,0,
5264,газель некст новая цена,30%,да,85%,1,
5265,мт 07 ямаха,0%,нет,40%,0,
5266,gmc hummer ev,0%,нет,34%,-1,
5267,лексус 570 фото,0%,нет,25%,-1,
5268,рено каптюр 2022 новый кузов комплектации и цены фото для россии,0%,нет,83%,1,
5269,тойота альфард 2022,40%,да,57%,0,
5270,ауди рс2,0%,нет,24%,-1,
5271,nissan versa,10%,да,25%,-1,
5272,cannonball,0%,нет,0%,-1,
5273,exceed lx обзор,0%,нет,1%,-1,
5274,дефендер купить,60%,да,83%,1,
5275,мазда трибут,20%,да,28%,-1,
5276,шкода суперб 2,20%,да,22%,-1,
5277,бентайга бентли цена,0%,нет,98%,1,
5278,форд мондео 2008,40%,да,44%,0,
5279,аккорд хонда универсал,30%,да,42%,0,
5280,xk jaguar,10%,да,24%,-1,
5281,cx 30 мазда,10%,да,35%,0,
5282,аутлендер митсубиси купить с пробегом,30%,да,98%,1,
5283,опель астра 2012,40%,да,50%,0,
5284,камри сколько стоит,70%,да,93%,1,
5285,лада двенашка,40%,да,43%,0,
5286,авто ру белгород авто с пробегом,70%,нет,99%,1,
5287,аккорд хонда 2020,10%,да,45%,0,
5288,авто тундра,0%,нет,51%,0,
5289,веста на автомате,0%,нет,17%,-1,
5290,что надежнее вариатор или автомат,0%,нет,3%,-1,
5291,напряжение заряженного аккумулятора,0%,нет,1%,-1,
5292,м 1 это,0%,нет,1%,-1,
5293,акура мдх купить,10%,да,100%,1,
5294,фортунер тойота цена,70%,да,100%,1,
5295,купить минивэн в москве,10%,нет,99%,1,
5296,китайский автомобиль красное знамя,20%,да,41%,0,
5297,саманд автомобиль,20%,да,28%,-1,
5298,kaiyi e5 купить в москве,10%,нет,100%,1,
5299,maclaren 720s,0%,нет,26%,-1,
5300,субару импреза хэтчбек,30%,да,34%,-1,
5301,стоимость теслы,0%,нет,92%,1,
5302,купить tesla model 3,0%,нет,92%,1,
5303,чайзер кузов 100,13%,да,23%,-1,
5304,купить toyota fj cruiser,30%,да,93%,1,
5305,тойота gt,20%,да,39%,0,
5306,polo volkswagen цена,80%,да,99%,1,
5307,китайский rolls royce,0%,нет,14%,-1,
5308,928 порше,0%,нет,25%,-1,
5309,альтеза лексус,0%,нет,15%,-1,
5310,ауди витебский,0%,нет,38%,0,
5311,скачать бланк купли продажи авто,0%,нет,15%,-1,
5312,педали в машине механика расположение,0%,нет,0%,-1,
5313,стоянка по четным и нечетным дням правила,0%,нет,0%,-1,
5314,купить авто в мелитополе запорожской области,0%,нет,58%,0,
5315,черная мазда,50%,да,48%,0,
5316,murano,50%,да,45%,0,
5317,70 супра,11%,да,29%,-1,
5318,ауди рс ку 8,50%,да,57%,0,
5319,бмв е 60 м 5,20%,да,20%,-1,
5320,шевроле круз купить с пробегом,30%,да,100%,1,
5321,хендай солярис купить бу в москве,30%,нет,95%,1,
5322,лексус лх600,30%,да,41%,0,
5323,рено сафран,30%,да,30%,-1,
5324,фольксваген фаэтон купить,50%,да,83%,1,
5325,индийские мотоциклы,30%,да,39%,0,
5326,скутер спб,100%,нет,100%,1,
5327,новая 5 бмв 2023,0%,нет,42%,0,
5328,лифан х70 цена,50%,да,100%,1,
5329,ниссан террано фото,0%,нет,25%,-1,
5330,tivoli ssangyong,20%,да,28%,-1,
5331,авто кострома,100%,нет,72%,1,
5332,чек двигателя,0%,нет,0%,-1,
5333,предписывающие знаки это,0%,нет,0%,-1,
5334,е34 купить,20%,да,79%,1,
5335,купить эскалейд,60%,да,87%,1,
5336,рам авто,0%,нет,58%,0,
5337,форд скорпион,0%,нет,17%,-1,
5338,финик машина цена,30%,да,75%,1,
5339,ягуар x type,0%,нет,22%,-1,
5340,киа церато 2019,60%,да,76%,1,
5341,ламборгини авентадор цена 2023,0%,нет,54%,0,
5342,лексус лх 450,40%,да,32%,-1,
5343,c200,30%,да,47%,0,
5344,mercedes e500,20%,да,22%,-1,
5345,мерседес 212 кузов,25%,да,22%,-1,
5346,альмера ниссан цена,60%,да,96%,1,
5347,астра h,0%,нет,34%,-1,
5348,купить рено логан в москве бу,20%,нет,96%,1,
5349,меган машина,40%,да,42%,0,
5350,reno sandero,30%,да,50%,0,
5351,авто ру мотоциклы с пробегом,30%,да,91%,1,
5352,byd yangwang u8 цена,30%,да,81%,1,
5353,ваз 2113 фото,0%,нет,23%,-1,
5354,touareg 2023,20%,да,36%,0,
5355,шкода рапид размер колес,10%,да,40%,0,
5356,ваз 2114 характеристики,0%,нет,43%,0,
5357,длина ларгус,0%,нет,42%,0,
5358,в 1 категория,0%,нет,0%,-1,
5359,почему двигатель ест масло,0%,нет,1%,-1,
5360,купить ауди а4 б6,50%,да,84%,1,
5361,bmw g80,10%,да,28%,-1,
5362,бестурн,0%,нет,55%,0,
5363,инфинити м37,0%,нет,46%,0,
5364,лотус электрокар,20%,да,45%,0,
5365,мерседес бенц g класс,60%,да,55%,0,
5366,gla 200,0%,нет,57%,0,
5367,аутлендер xl,20%,да,16%,-1,
5368,ваз 2103 фото,0%,нет,15%,-1,
5369,автомобили бюджетные,30%,да,28%,-1,
5370,кроссовер мустанг,0%,нет,23%,-1,
5371,w204 c63,0%,нет,23%,-1,
5372,фото москвич 408,10%,да,22%,-1,
5373,marussia b1,0%,нет,18%,-1,
5374,габариты гранта,0%,нет,40%,0,
5375,купить машину в курске,100%,нет,84%,1,
5376,индекс шин расшифровка таблица,0%,нет,9%,-1,
5377,как правильно прокачать тормоза,0%,нет,0%,-1,
5378,как развоздушить систему охлаждения,0%,нет,0%,-1,
5379,м5 ф90 купить,10%,да,95%,1,
5380,мазда 6 черная,40%,да,57%,0,
5381,внедорожник рено,50%,да,83%,1,
5382,ваз 21 0 8,10%,да,21%,-1,
5383,volvo s60 купить,90%,да,94%,1,
5384,фургоны,70%,да,63%,0,
5385,bentley bentayga цена,60%,да,100%,1,
5386,316 бмв,20%,да,23%,-1,
5387,бмв 3 купе,40%,да,62%,0,
5388,машина панда,30%,да,30%,-1,
5389,genesis g80 цена,90%,да,98%,1,
5390,хонда внедорожник,40%,да,55%,0,
5391,хендай туссан 2019,40%,да,57%,0,
5392,mazda cx60,20%,да,38%,0,
5393,мерседес 2023 года,0%,нет,29%,-1,
5394,seat altea,10%,да,18%,-1,
5395,внедорожник шкода,0%,нет,74%,1,
5396,цена вольво хс90,80%,да,99%,1,
5397,zeekr 001 цена в москве,10%,нет,100%,1,
5398,исузу эльф купить,30%,да,92%,1,
5399,kawasaki w800,20%,да,38%,0,
5400,bronco ford 2022,0%,нет,57%,0,
5401,хундай старекс 4х4 купить бу,50%,да,100%,1,
5402,ленд ровер фото,0%,нет,22%,-1,
5403,мерседес бенц фото,0%,нет,38%,0,
5404,21 41 москвич,0%,нет,16%,-1,
5405,ниссан цефиро а33,10%,да,24%,-1,
5406,габариты хендай солярис,0%,нет,50%,0,
5407,сравнить автомобили по всем параметрам и цене,0%,нет,58%,0,
5408,масса в снаряженном состоянии,0%,нет,0%,-1,
5409,самый дешевый автомобиль,0%,нет,17%,-1,
5410,парковка по четным и нечетным дням,0%,нет,0%,-1,
5411,когда менять масло в автоматической коробке передач,0%,нет,2%,-1,
5412,лаура автомобиль,0%,нет,7%,-1,
5413,купить тойота камри в москве,20%,нет,100%,1,
5414,купить автобус новый,70%,да,97%,1,
5415,машина альфа,20%,да,31%,-1,
5416,купить audi r8,60%,да,75%,1,
5417,honda accord купить,70%,да,79%,1,
5418,дискавери 3 2.7 дизель,10%,да,36%,0,
5419,мерседес кузов 140,20%,да,26%,-1,
5420,новокузнецк авто,100%,нет,77%,1,
5421,ростов авто ру,50%,нет,45%,0,
5422,avto ru russia,0%,нет,55%,0,
5423,авто ру брянск автомобили с пробегом,10%,нет,97%,1,
5424,audi gt etron,0%,нет,19%,-1,
5425,малибу шевроле 2022,0%,нет,39%,0,
5426,фото дэу нексия,0%,нет,18%,-1,
5427,gt 3000 mitsubishi,10%,да,20%,-1,
5428,geely coolray flagship sport,50%,да,75%,1,
5429,продажа авто в днр донецк,80%,нет,74%,1,
5430,на шинах год выпуска где посмотреть,0%,нет,4%,-1,
5431,почему потеют стекла в машине изнутри что делать,0%,нет,0%,-1,
5432,нива 4х4 цена,60%,да,87%,1,
5433,матиз красный,50%,да,57%,0,
5434,киа к5 2020,10%,да,50%,0,
5435,мазда внедорожник,40%,да,53%,0,
5436,gls 2023,10%,да,62%,0,
5437,галант митсубиси 7,10%,да,18%,-1,
5438,fabia,60%,да,46%,0,
5439,авалон тойота цена,40%,да,88%,1,
5440,тундра пикап,0%,нет,51%,0,
5441,авто ру москва с пробегом,60%,нет,96%,1,
5442,2107 машина,100%,да,51%,0,
5443,автосалон барнаул,100%,нет,75%,1,
5444,хонда цивик спорт,0%,нет,26%,-1,
5445,amg gl 63,0%,нет,29%,-1,
5446,пежо 308 фото,0%,нет,16%,-1,
5447,dacia sandero,10%,да,33%,-1,
5448,солярис клиренс,0%,нет,42%,0,
5449,модельный ряд ламборгини,0%,нет,56%,0,
5450,сколько весит гранта,0%,нет,30%,-1,
5451,авто ру хабаровск,100%,нет,84%,1,
5452,значок чек в машине,0%,нет,0%,-1,
5453,что делать если окна в машине потеют,0%,нет,0%,-1,
5454,ауди rs5,40%,да,46%,0,
5455,e65,0%,нет,24%,-1,
5456,цена генезис,0%,нет,100%,1,
5457,джетта va3,40%,да,54%,0,
5458,купить лексус ес 250,70%,да,76%,1,
5459,мерседес glk 220,20%,да,22%,-1,
5460,мерседес r класс,0%,нет,37%,0,
5461,мерседес е190,20%,да,22%,-1,
5462,ниссан ноут гибрид,10%,да,16%,-1,
5463,сильвия с 14,0%,нет,26%,-1,
5464,ниссан тиана фото и цена,0%,нет,94%,1,
5465,subaru sg5 forester,10%,да,23%,-1,
5466,тойота камри 2015,40%,да,48%,0,
5467,toyota mark 2 100,10%,да,53%,0,
5468,гольф универсал,30%,да,47%,0,
5469,купить скутеры,50%,да,100%,1,
5470,авто ру нижний новгород автомобили с пробегом,90%,нет,93%,1,
5471,авто маленькие,0%,нет,18%,-1,
5472,бентли континенталь цена 2023,0%,нет,97%,1,
5473,daihatsu boon,10%,да,31%,-1,
5474,фольксваген поло характеристики,0%,нет,50%,0,
5475,категория b1 в правах,0%,нет,1%,-1,
5476,плохо греет печка,0%,нет,0%,-1,
5477,ваз 2121 бу купить,60%,да,100%,1,
5478,цена скутер,60%,да,100%,1,
5479,цена корвет,40%,да,89%,1,
5480,ланос шевроле 2007,20%,да,42%,0,
5481,форд цена,100%,да,100%,1,
5482,ренегат джип купить,70%,да,97%,1,
5483,киа соренто 2008,30%,да,43%,0,
5484,s63 mercedes,0%,нет,33%,-1,
5485,opel vectra a,30%,да,29%,-1,
5486,минивэн тойота купить,60%,да,92%,1,
5487,тойота сн r цена,70%,да,100%,1,
5488,фольксваген пассат б5 универсал,20%,да,45%,0,
5489,тигуан рестайлинг 1,0%,нет,44%,0,
5490,отзывы ниссан мурано,0%,нет,12%,-1,
5491,фото мерседес спринтер,0%,нет,16%,-1,
5492,330i bmw,0%,нет,39%,0,
5493,roadster mazda,10%,да,40%,0,
5494,maybach 2023,0%,нет,45%,0,
5495,марк 2 универсал,0%,нет,29%,-1,
5496,ярис кросс,10%,да,21%,-1,
5497,фольксваген джетта фото,0%,нет,29%,-1,
5498,ауди рс 2,0%,нет,24%,-1,
5499,размер колес хендай солярис,10%,да,32%,-1,
5500,рено аркана характеристики,0%,нет,50%,0,
5501,ауди витебский санкт петербург,80%,нет,51%,0,
5502,авто иваново с пробегом,100%,нет,98%,1,
5503,замена двигателя,40%,да,34%,-1,
5504,рено сандеро купить с пробегом,50%,да,100%,1,
5505,купить шевроле камаро бу,60%,да,98%,1,
5506,ленд ровер цена,40%,да,86%,1,
5507,w218,0%,нет,31%,-1,
5508,eqs,0%,нет,38%,0,
5509,митсубиси эклипс кросс купить,70%,да,100%,1,
5510,рено логан 1 рестайлинг,0%,нет,34%,-1,
5511,автомобиль седан легковой,50%,да,59%,0,
5512,мерседес е210,30%,да,23%,-1,
5513,красивые авто,0%,нет,9%,-1,
5514,рх 7,0%,нет,22%,-1,
5515,купить ниссан ад,30%,да,100%,1,
5516,лада старая,10%,да,15%,-1,
5517,з8,0%,нет,31%,-1,
5518,шевроле колорадо,0%,нет,36%,0,
5519,бу авто донецк,60%,нет,73%,1,
5520,кпп вариатор,0%,нет,3%,-1,
5521,цена lexus lfa,0%,нет,25%,-1,
5522,купить форд пикап,40%,да,93%,1,
5523,купить портер,50%,да,98%,1,
5524,купить ауди а4 б5,50%,да,86%,1,
5525,ауди a7,40%,да,45%,0,
5526,audi r8 v10,10%,да,25%,-1,
5527,audi r6,40%,да,38%,0,
5528,бмв 540,30%,да,37%,0,
5529,bmw competition,10%,да,30%,-1,
5530,бмв х5 2019,0%,нет,51%,0,
5531,chery a13,20%,да,16%,-1,
5532,222 майбах,0%,нет,45%,0,
5533,nissan gtr 34,0%,нет,15%,-1,
5534,автору ру авто с пробегом в москве,0%,нет,98%,1,
5535,заз 965 городской автомобиль,20%,да,15%,-1,
5536,шевроле малибу 2020,10%,да,41%,0,
5537,фото хендай старекс,0%,нет,30%,-1,
5538,lynk co 03,0%,нет,40%,0,
5539,купить ae 86 в россии,0%,нет,97%,1,
5540,fiat tipo,20%,да,26%,-1,
5541,как покрасить машину самому в домашних условиях,0%,нет,1%,-1,
5542,стартер в машине это,0%,нет,0%,-1,
5543,купить ситроен с5 аиркросс,60%,да,98%,1,
5544,бу фольксваген туарег,90%,да,85%,1,
5545,даф тягач,50%,да,76%,1,
5546,gran turismo bmw,0%,нет,37%,0,
5547,бмв 3 е46,10%,да,24%,-1,
5548,опель астра опс,0%,нет,22%,-1,
5549,stepway машина,70%,да,70%,1,
5550,тойота королла 2010,30%,да,39%,0,
5551,купить 2108,80%,да,87%,1,
5552,volkswagen golf plus,50%,да,41%,0,
5553,volkswagen t4 transporter,20%,да,37%,0,
5554,harley davidson sportster 883,0%,нет,59%,0,
5555,honda nc700x,30%,да,53%,0,
5556,отзывы джили атлас про реальных владельцев,0%,нет,8%,-1,
5557,авто ру авто с пробегом воронежская область частные объявления,0%,нет,94%,1,
5558,цена шевроле корвет,20%,да,55%,0,
5559,skyline gtr,0%,нет,29%,-1,
5560,240 sx nissan,10%,да,20%,-1,
5561,киров автосалон,100%,нет,76%,1,
5562,бентли континенталь купить,70%,да,100%,1,
5563,джели мгранта х7 цена,60%,да,100%,1,
5564,ауди а8 д4,0%,нет,28%,-1,
5565,рс5,0%,нет,42%,0,
5566,красная бмв,40%,да,38%,0,
5567,хаммер н2 купить,30%,да,85%,1,
5568,киа рио хэтчбек 3,20%,да,35%,0,
5569,shuma kia,30%,да,26%,-1,
5570,киа спектр,30%,да,40%,0,
5571,мазда рх,20%,да,22%,-1,
5572,ленд крузер 300 2023,40%,да,37%,0,
5573,ваз богдан,40%,да,35%,0,
5574,нива 2131 бу купить,60%,да,100%,1,
5575,китайский универсал,30%,да,43%,0,
5576,газ 2705 грузовой фургон,25%,да,56%,0,
5577,бмв с1000рр,0%,нет,45%,0,
5578,s макс форд,30%,да,32%,-1,
5579,авто ру петрозаводск,60%,нет,89%,1,
5580,шевроле ланос отзывы владельцев,0%,нет,14%,-1,
5581,фольксваген тигуан отзывы владельцев,0%,нет,8%,-1,
5582,выкуп авто ру,10%,да,23%,-1,
5583,audi q4,10%,да,33%,-1,
5584,gn8,0%,нет,43%,0,
5585,мерседес электрический,10%,да,41%,0,
5586,фото супры,0%,нет,15%,-1,
5587,s2 audi,10%,да,25%,-1,
5588,давление масла в двигателе как проверить,0%,нет,3%,-1,
5589,форд авто,40%,да,45%,0,
5590,honda accord 6,10%,да,23%,-1,
5591,gs350 lexus,20%,да,26%,-1,
5592,волчек мерседес,10%,да,22%,-1,
5593,samurai suzuki,10%,да,25%,-1,
5594,фольксваген пассат б6 купить,70%,да,78%,1,
5595,polo volkswagen 2020,30%,да,42%,0,
5596,фольксваген внедорожник,30%,да,49%,0,
5597,хонда 750 шадоу,20%,да,38%,0,
5598,машина самара,100%,нет,100%,1,
5599,авто ру авто с пробегом тверь и тверская область,30%,нет,98%,1,
5600,джип мерс,10%,да,70%,1,
5601,фото москвич 407,0%,нет,19%,-1,
5602,gtr r34 skyline,0%,нет,23%,-1,
5603,фото шкода фабия,0%,нет,15%,-1,
5604,wildlander toyota,0%,нет,42%,0,
5605,flex ford,10%,да,23%,-1,
5606,нива размер шин,0%,нет,14%,-1,
5607,санта фе киа,10%,да,9%,-1,
5608,мотоцикл для начинающих,0%,нет,12%,-1,
5609,бугатти самая быстрая,0%,нет,0%,-1,
5610,какой заряд должен быть у автомобильного аккумулятора,0%,нет,0%,-1,
5611,вождение с нуля на механике для начинающих,10%,да,0%,-1,
5612,киа карнивал купить бу в москве,30%,нет,99%,1,
5613,ваз ока 1111 купить,70%,да,99%,1,
5614,купить ваз 2131 бу,50%,да,93%,1,
5615,машины бизнес класса,50%,да,51%,0,
5616,ауди а3 цена,90%,да,97%,1,
5617,газ 69а,20%,да,15%,-1,
5618,fx50 инфинити,20%,да,30%,-1,
5619,купить бу джип,80%,да,100%,1,
5620,сколько стоит lamborghini aventador,30%,да,73%,1,
5621,570 лх,0%,нет,29%,-1,
5622,мерседес s600 кабан,0%,нет,15%,-1,
5623,купить мицубиси паджеро спорт с пробегом,40%,да,100%,1,
5624,нива пятидверка новая,20%,да,77%,1,
5625,rolls royce phantom vii,0%,нет,41%,0,
5626,бочка машина,0%,нет,18%,-1,
5627,рав 4 2020,0%,нет,43%,0,
5628,14 жигули,30%,да,25%,-1,
5629,пассат универсал б6,0%,нет,44%,0,
5630,фото машина ока,0%,нет,23%,-1,
5631,x trail 2023,0%,нет,33%,-1,
5632,воя дример,0%,нет,45%,0,
5633,веста объем бака,0%,нет,26%,-1,
5634,габариты веста,0%,нет,30%,-1,
5635,купить паджеро 4 новый,80%,да,85%,1,
5636,автору договор купли продажи онлайн,0%,нет,25%,-1,
5637,снаряженная масса автомобиля,0%,нет,7%,-1,
5638,как работает двс,0%,нет,0%,-1,
5639,мкпп расшифровка,10%,да,0%,-1,
5640,купить мазда сх5 с пробегом,10%,да,100%,1,
5641,porsche 964,0%,нет,14%,-1,
5642,тагаз тагер купить бу,40%,да,92%,1,
5643,цена камри 70,30%,да,99%,1,
5644,а3 ауди седан,60%,да,52%,0,
5645,audi a4 allroad,40%,да,38%,0,
5646,ауди купить в москве,0%,нет,97%,1,
5647,цена ауди рс 6,30%,да,71%,1,
5648,е 30,0%,нет,27%,-1,
5649,сколько стоит бмв машина,70%,да,100%,1,
5650,bmw купе,0%,нет,86%,1,
5651,bmw f25,30%,да,22%,-1,
5652,газ 2401,20%,да,24%,-1,
5653,черри атлас,80%,да,79%,1,
5654,туссан хендай 2020,60%,да,79%,1,
5655,церато киа 2010,30%,да,47%,0,
5656,мазда 6 2007,0%,нет,41%,0,
5657,е 500 мерседес,20%,да,22%,-1,
5658,ниссан кашкай 2014,30%,да,57%,0,
5659,tlc 200,0%,нет,29%,-1,
5660,купить mark 2,50%,да,86%,1,
5661,купить в у в москве,20%,нет,77%,1,
5662,kawasaki z900,20%,да,41%,0,
5663,мерседес gl купить,60%,да,82%,1,
5664,фото мицубиси,0%,нет,47%,0,
5665,ленд крузер 200 фото,0%,нет,35%,0,
5666,купить бу тойота рав 4 в россии,30%,да,98%,1,
5667,рено дастер размер колес,0%,нет,20%,-1,
5668,значки на приборной панели автомобиля,0%,нет,19%,-1,
5669,для чего нужен катализатор,0%,нет,0%,-1,
5670,dodge ram купить,80%,да,93%,1,
5671,eclipse mitsubishi купить,40%,да,59%,0,
5672,продажа тягачей,70%,да,100%,1,
5673,zdx acura,10%,да,15%,-1,
5674,купить бу ауди тт,70%,да,85%,1,
5675,шевроле хэтчбек,20%,да,70%,1,
5676,инфинити 35 fx,20%,да,23%,-1,
5677,мерседес 220 е,20%,да,47%,0,
5678,с600 мерседес,10%,да,16%,-1,
5679,190 mercedes,20%,да,19%,-1,
5680,авто во владимире купить,90%,нет,100%,1,
5681,лифан смайли купить,50%,да,99%,1,
5682,nio es8 цена,0%,нет,77%,1,
5683,solara toyota,10%,да,23%,-1,
5684,объявление о продаже подать,20%,да,93%,1,
5685,китайские автомобили фото,0%,нет,39%,0,
5686,как ламба выглядит,0%,нет,27%,-1,
5687,юрий долгорукий москвич,0%,нет,11%,-1,
5688,авто ру дагестан,60%,нет,45%,0,
5689,авто казахстан продажа авто с пробегом,0%,нет,78%,1,
5690,масса в снаряженном состоянии автомобиля это,0%,нет,7%,-1,
5691,не работает печка в машине причины,0%,нет,0%,-1,
5692,знаки стоянки и остановки,0%,нет,0%,-1,
5693,нексия даево,30%,да,30%,-1,
5694,бмв 30,20%,да,30%,-1,
5695,м4 компетишн цена,10%,да,92%,1,
5696,форд фокус черный,20%,да,54%,0,
5697,gv90 genesis,0%,нет,23%,-1,
5698,хонда джаз купить,90%,да,100%,1,
5699,ниссан ноут е пауэр,0%,нет,14%,-1,
5700,шкода сколько стоит,100%,да,100%,1,
5701,витц,50%,да,46%,0,
5702,ока цена машина,50%,да,79%,1,
5703,фольксваген джетта 2,10%,да,24%,-1,
5704,volkswagen viloran,0%,нет,27%,-1,
5705,10 аккорд,0%,нет,30%,-1,
5706,дешевые спортивные машины,10%,да,21%,-1,
5707,стартер как работает,0%,нет,0%,-1,
5708,хендай туксон купить бу,90%,да,99%,1,
5709,ситрак цена,10%,да,75%,1,
5710,кузов седан,0%,нет,15%,-1,
5711,bmw 325i,10%,да,23%,-1,
5712,750i bmw,10%,да,37%,0,
5713,bmw x3m,10%,да,49%,0,
5714,шевроле круз седан,40%,да,34%,-1,
5715,додж дюранго купить,20%,да,93%,1,
5716,hyundai tucson 2008,40%,да,56%,0,
5717,samand,20%,да,30%,-1,
5718,ламборджини цена 2023 в рублях,0%,нет,57%,0,
5719,ls 430 lexus,0%,нет,28%,-1,
5720,протеже мазда,10%,да,36%,0,
5721,мерседес мерин,10%,да,30%,-1,
5722,суперб шкода 2022,30%,да,62%,0,
5723,prado land cruiser купить,70%,да,98%,1,
5724,lada kalina sport,40%,да,44%,0,
5725,цена лада веста автомат,70%,да,93%,1,
5726,купить японские машины,80%,да,99%,1,
5727,r1200r bmw,0%,нет,47%,0,
5728,автосалоны с пробегом в твери,10%,нет,70%,1,
5729,авто ру оценка стоимости,0%,нет,46%,0,
5730,ламборгини стоимость,0%,нет,100%,1,
5731,гелик 4х4,0%,нет,36%,0,
5732,мерседес паркетник,20%,да,43%,0,
5733,405 peugeot,20%,да,32%,-1,
5734,рено 25,10%,да,26%,-1,
5735,длина уаз патриот,10%,да,48%,0,
5736,регулировщик жесты и обозначения для водителя в картинках с пояснениями,0%,нет,0%,-1,
5737,что означает m s на шинах,0%,нет,1%,-1,
5738,граната в машине что это,0%,нет,0%,-1,
5739,топ дешевых спортивных машин,0%,нет,14%,-1,
5740,система питания автомобиля,0%,нет,7%,-1,
5741,купить б у уаз патриот,70%,да,100%,1,
5742,авто ру продажа авто в москве,0%,нет,60%,0,
5743,audi q7 цена,80%,да,100%,1,
5744,соната хендай 2011,40%,да,42%,0,
5745,ламборджини цена 2023,30%,да,51%,0,
5746,тойота краун 2019,0%,нет,36%,0,
5747,купить toyota crown,40%,да,58%,0,
5748,автору ростова на дону,100%,нет,99%,1,
5749,продажа б у грузовиков в россии,0%,нет,75%,1,
5750,ауто ру россия,0%,нет,14%,-1,
5751,форд флекс,10%,да,23%,-1,
5752,купить рендж ровер в россии с пробегом,20%,да,97%,1,
5753,33 гтр,0%,нет,23%,-1,
5754,харриер тойота 2020,0%,нет,45%,0,
5755,автомобиль omoda кто производитель,0%,нет,32%,-1,
5756,приора размер колес,0%,нет,21%,-1,
5757,полная масса автомобиля это,0%,нет,8%,-1,
5758,на механике,0%,нет,0%,-1,
5759,полировка авто своими руками,0%,нет,0%,-1,
5760,настроить зеркала в машине как правильно,0%,нет,0%,-1,
5761,как по вин коду узнать цвет машины,0%,нет,10%,-1,
5762,нормальный заряд аккумулятора автомобиля,0%,нет,1%,-1,
5763,купить мицубиси аутлендер с пробегом,30%,да,100%,1,
5764,фура даф,30%,да,43%,0,
5765,машина дизель,40%,да,45%,0,
5766,купить аурус в москве,10%,нет,100%,1,
5767,купе е46,0%,нет,23%,-1,
5768,е36 м3,0%,нет,22%,-1,
5769,кадиллак xt6,0%,нет,51%,0,
5770,чери qq6,30%,да,27%,-1,
5771,fx50 infiniti,20%,да,31%,-1,
5772,сколько стоит ламборгини авентадор,0%,нет,68%,1,
5773,ниссан сколько стоит,80%,да,99%,1,
5774,купить ниссан марч,50%,да,71%,1,
5775,тойота краун 2018,20%,да,59%,0,
5776,сколько стоит десятка,60%,да,87%,1,
5777,volkswagen golf 3,30%,да,28%,-1,
5778,камаз компас цена,20%,да,66%,1,
5779,авто ру свердловская,40%,да,96%,1,
5780,х1 бмв 2023,0%,нет,32%,-1,
5781,купить тахо шевроле с пробегом в россии,10%,да,77%,1,
5782,дастер дачия,0%,нет,28%,-1,
5783,фото газ,0%,нет,28%,-1,
5784,s2k honda,0%,нет,24%,-1,
5785,фотки гелика,0%,нет,16%,-1,
5786,мерседес 221 фото,0%,нет,29%,-1,
5787,9 лансер фото,0%,нет,21%,-1,
5788,evo 9,0%,нет,26%,-1,
5789,403 москвич фото,10%,да,25%,-1,
5790,авто в россии купить новые,30%,да,99%,1,
5791,фото опель корса,0%,нет,18%,-1,
5792,samsung qm6,10%,да,24%,-1,
5793,альфард 2023,0%,нет,38%,0,
5794,легковой автомобиль зил,20%,да,15%,-1,
5795,ваз 2109 сколько весит,0%,нет,49%,0,
