#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
4110,рикотто,0%,нет,33%,-1,
4111,ворчестерский соус купить,30%,да,99%,1,
4112,ярославль изи китчен,70%,нет,29%,-1,
4113,пицца мия доставка челябинск,90%,нет,63%,0,
4114,чаван чуду,0%,нет,16%,-1,
4115,hesburger,0%,нет,8%,-1,
4116,кампус ресторан,50%,да,15%,-1,
4117,курочка рядом омск,80%,нет,44%,0,
4118,форель свежая,50%,да,89%,1,
4119,осака доставка ростов на дону,80%,нет,52%,0,
4120,мармеладки купить,40%,да,84%,1,
4121,заказать торт мороженое,70%,да,100%,1,
4122,яндекс еда воронеж доставка,90%,нет,52%,0,
4123,мясоед зеленоград,0%,нет,31%,-1,
4124,унга 38 иркутск доставка,70%,нет,56%,0,
4125,бутово сказка востока,40%,да,36%,0,
4126,ресторан seasons,50%,да,40%,0,
4127,shore house,60%,да,37%,0,
4128,порт суши,40%,да,32%,-1,
4129,шашлыков омск меню и цены,80%,нет,76%,1,
4130,яндекс еда стать курьером,0%,нет,34%,-1,
4131,ресторан жажда крови москва,60%,нет,18%,-1,
4132,картофель продажа,40%,да,88%,1,
4133,мяснов и отдохни в н новгороде каталог товаров и цены,0%,нет,77%,1,
4134,бизнес ланч рядом,90%,да,50%,0,
4135,торт москва купить в москве,100%,нет,99%,1,
4136,вкусно и точка мурманск,70%,нет,36%,0,
4137,роллы йошкар ола,100%,нет,74%,1,
4138,мамой клянусь зеленоград,0%,нет,43%,0,
4139,верный доставка продуктов на дом,30%,да,64%,0,
4140,блэк тай ресторан,70%,да,29%,-1,
4141,мама мия меню,30%,да,74%,1,
4142,ресторан загородный дворик мытищи,80%,нет,44%,0,
4143,новосибирск чико,80%,нет,37%,0,
4144,kalabasa,0%,нет,17%,-1,
4145,конфеты чернослив в шоколаде купить,0%,нет,85%,1,
4146,купить энергетик,20%,да,99%,1,
4147,мама мия доставка тула,80%,нет,48%,0,
4148,волгоград персонажи меню,80%,нет,38%,0,
4149,секрет китчен волгоград,60%,нет,32%,-1,
4150,каспийск доставка еды,80%,нет,62%,0,
4151,mind coffee,0%,нет,26%,-1,
4152,express panda,0%,нет,17%,-1,
4153,table ресторан,80%,да,41%,0,
4154,роллы тануки,70%,да,63%,0,
4155,марвел пицца,10%,да,17%,-1,
4156,суши бенто пермь заказать,90%,нет,55%,0,
4157,фарфор заказать роллы,40%,да,59%,0,
4158,пицца азия,30%,да,68%,1,
4159,пиццасушивок ру,0%,нет,25%,-1,
4160,пятерочка торты,30%,да,54%,0,
4161,каталог вита аптека,20%,да,90%,1,
4162,купить ленинградский торт,40%,да,93%,1,
4163,пиво заказать с доставкой,80%,да,100%,1,
4164,боро бургер смоленск,60%,нет,27%,-1,
4165,тверь симеоновская улица 6 дома у друзей,80%,нет,44%,0,
4166,оджахури уфа меню и цены,70%,нет,56%,0,
4167,яндекс еду,0%,нет,16%,-1,
4168,суши хан,20%,да,32%,-1,
4169,сушимаркет ру екатеринбург,80%,нет,38%,0,
4170,калуга бургер кинг,90%,нет,59%,0,
4171,яндекс еда доставка казань,70%,нет,61%,0,
4172,кафе ботаника,70%,да,36%,0,
4173,есть хинкали пить вино москва,70%,нет,29%,-1,
4174,papa john s pizza,30%,да,22%,-1,
4175,пицца дон,100%,да,60%,0,
4176,русалочка любит суши нижний новгород,70%,нет,39%,0,
4177,pizzaroni,0%,нет,28%,-1,
4178,сырки глазированные купить,30%,да,89%,1,
4179,mirel торты,10%,да,70%,1,
4180,сгоряча вкусвилл,0%,нет,29%,-1,
4181,купить шея свиная,40%,да,100%,1,
4182,булочки для хот догов купить,40%,да,99%,1,
4183,тула магадан,100%,нет,43%,0,
4184,хмели картвели ульяновск,50%,нет,38%,0,
4185,воронеж баранкин кулинария,90%,нет,36%,0,
4186,кинолента воронеж,60%,нет,44%,0,
4187,бургер кинг орск,80%,нет,44%,0,
4188,колбасофф зеленоград,0%,нет,16%,-1,
4189,суши заказать с доставкой челябинск,100%,нет,81%,1,
4190,цукини королев,0%,нет,23%,-1,
4191,вкус вилл интернет магазин доставка на дом москва,30%,нет,47%,0,
4192,суши бокс меню,30%,да,45%,0,
4193,таксим ресторан,80%,да,36%,0,
4194,шаверма хаус пермь,80%,нет,45%,0,
4195,му бокс,0%,нет,31%,-1,
4196,ninja sushi,60%,да,33%,-1,
4197,лимонная кислота цена,60%,да,99%,1,
4198,пицца заказать с доставкой рядом,60%,да,69%,1,
4199,мы же на ты санкт петербург,70%,нет,37%,0,
4200,изи китчен ярославль,70%,нет,29%,-1,
4201,казань хочу и буду баумана,80%,нет,31%,-1,
4202,доставка продуктов на дом спб магнит,40%,нет,66%,1,
4203,самми,0%,нет,18%,-1,
4204,тэмаки,0%,нет,34%,-1,
4205,нори мио,10%,да,23%,-1,
4206,корм для кошек 4 лапы,20%,да,61%,0,
4207,ресторанная коллекция,0%,нет,66%,1,
4208,дом нино ресторан в самаре меню цены,80%,нет,48%,0,
4209,круассаны купить,40%,да,93%,1,
4210,дабл бабл ти,0%,нет,9%,-1,
4211,сушинка тюмень,70%,нет,63%,0,
4212,суши видное,0%,нет,99%,1,
4213,панчо гриль,0%,нет,27%,-1,
4214,дюшес красногорск,90%,нет,44%,0,
4215,ресторан meat coin,0%,нет,19%,-1,
4216,бургер и стейк мираторг,40%,да,34%,-1,
4217,чаман ресторан,0%,нет,32%,-1,
4218,кайфын,0%,нет,24%,-1,
4219,хочу пельмени,0%,нет,18%,-1,
4220,академия кафе,50%,да,22%,-1,
4221,слава ресторан,60%,да,37%,0,
4222,суши япона матрена,20%,да,34%,-1,
4223,доски меню самара,80%,нет,45%,0,
4224,мидии купить в москве,30%,нет,99%,1,
4225,ессентуки роллы,80%,нет,71%,1,
4226,пицца коломна,80%,нет,72%,1,
4227,геленджик суши,70%,нет,99%,1,
4228,доставка гродно еды,0%,нет,72%,1,
4229,русский иркутск ресторан,70%,нет,22%,-1,
4230,калуга мажор,100%,нет,29%,-1,
4231,пицца цена,100%,да,100%,1,
4232,wok лапша,80%,да,73%,1,
4233,фудзи суши,50%,да,99%,1,
4234,kitchen меню,0%,нет,47%,0,
4235,краснодар ресторан гусь,100%,нет,52%,0,
4236,смесь фруктово ореховая,0%,нет,89%,1,
4237,шарики яндекс,0%,нет,29%,-1,
4238,шаурма маркет ростов на дону доставка,90%,нет,60%,0,
4239,заказать пиццу с доставкой в москве недорого,30%,нет,81%,1,
4240,шашлык 72 тюмень,50%,нет,53%,0,
4241,варибаси,0%,нет,16%,-1,
4242,osteria mario меню,0%,нет,31%,-1,
4243,старый сычуань,0%,нет,8%,-1,
4244,why not sushi,50%,да,26%,-1,
4245,кус кус купить,50%,да,99%,1,
4246,купить клубника,60%,да,99%,1,
4247,важная рыба санкт петербург,60%,нет,33%,-1,
4248,хинкали гали томск,80%,нет,46%,0,
4249,высота ресторан кисловодск,70%,нет,30%,-1,
4250,меню суши хаус,20%,да,95%,1,
4251,пить кофе шахты,0%,нет,30%,-1,
4252,брянск бургер кинг,70%,нет,54%,0,
4253,екатеринбург фикс кафе,100%,нет,40%,0,
4254,суши красногорск,100%,нет,60%,0,
4255,батоно,40%,да,31%,-1,
4256,хачапури тетушки марико нижний новгород,80%,нет,22%,-1,
4257,вкусно и точка нальчик,10%,нет,28%,-1,
4258,майбокс орел,0%,нет,31%,-1,
4259,подольск роллы,100%,нет,67%,1,
4260,кафе лес воронеж,90%,нет,45%,0,
4261,пицца топпинг набережные челны,0%,нет,31%,-1,
4262,пицца суши доставка,70%,да,63%,0,
4263,рязань шашлычный дворик,100%,нет,56%,0,
4264,спб марчеллис,60%,нет,29%,-1,
4265,бургер кинг томск,80%,нет,45%,0,
4266,уфа оджахури меню,90%,нет,63%,0,
4267,персонажи волгоград ресторан меню и цены,80%,нет,45%,0,
4268,суши альфа,10%,да,53%,0,
4269,меню бинхартс казань,80%,нет,57%,0,
4270,ресторан царское село киров,60%,нет,30%,-1,
4271,пицца мир,0%,нет,24%,-1,
4272,интемпо оренбург заказ,80%,нет,49%,0,
4273,sangre fresca ресторан,60%,да,24%,-1,
4274,суши весла меню,50%,да,53%,0,
4275,леопицца меню брянск,70%,нет,67%,1,
4276,мамини ресторан иркутск,70%,нет,38%,0,
4277,ресторан dr живаго,0%,нет,16%,-1,
4278,швили меню,0%,нет,42%,0,
4279,котлеты куриные купить,0%,нет,89%,1,
4280,копченая курица купить,50%,да,100%,1,
4281,филе бедра курицы купить,0%,нет,89%,1,
4282,мама рома меню санкт петербург,80%,нет,56%,0,
4283,суши люберцы,90%,нет,82%,1,
4284,автосуши новочебоксарск,80%,нет,54%,0,
4285,горячий цех ресторан новосибирск,70%,нет,51%,0,
4286,доставка мы дружим оренбург,40%,нет,39%,0,
4287,ресторан пахлава,0%,нет,22%,-1,
4288,суши лав саратов,90%,нет,23%,-1,
4289,желе купить,50%,да,100%,1,
4290,мясо и хлеб спб меню и цены,70%,нет,75%,1,
4291,яндекс еда доставка тюмень,50%,нет,46%,0,
4292,манеки ярославль заказать,80%,нет,48%,0,
4293,суши ессентуки,80%,нет,68%,1,
4294,кисловодск доставка еды,100%,нет,62%,0,
4295,пушкино якитория,90%,нет,51%,0,
4296,челябинск шаурма,90%,нет,58%,0,
4297,вкусно и точка геленджик,10%,нет,28%,-1,
4298,киров хлеб и пицца,40%,нет,47%,0,
4299,джимми чу краснодар,70%,нет,26%,-1,
4300,кфс меню краснодар,50%,нет,98%,1,
4301,goodman,60%,да,36%,0,
4302,il forno,0%,нет,20%,-1,
4303,песнь моряка,0%,нет,36%,0,
4304,тен рамен,40%,да,23%,-1,
4305,кфч,0%,нет,22%,-1,
4306,акума роллс ростов на дону,90%,нет,45%,0,
4307,свиная вырезка купить,40%,да,92%,1,
4308,магнитогорск инжир,50%,нет,30%,-1,
4309,синнабон ставрополь,60%,нет,37%,0,
4310,протесто калуга,90%,нет,30%,-1,
4311,мархал в ховрино,60%,да,32%,-1,
4312,villa pasta,0%,нет,30%,-1,
4313,суши босс,30%,да,57%,0,
4314,японский домик омск доставка,100%,нет,55%,0,
4315,заказ продуктов перекресток на дом спб,60%,нет,64%,0,
4316,купить торт эстерхази в москве,0%,нет,98%,1,
4317,вкусно и точка уфа доставка,60%,нет,79%,1,
4318,адлер суши,10%,да,96%,1,
4319,пицца ру северск,70%,нет,44%,0,
4320,кфс таганрог,70%,нет,49%,0,
4321,багратиони чебоксары,80%,нет,44%,0,
4322,кемерово вкусно и точка,80%,нет,36%,0,
4323,хлебные истории краснодар,70%,нет,29%,-1,
4324,assunta madre ресторан,50%,да,29%,-1,
4325,москва бургер кинг,60%,нет,43%,0,
4326,такамура,0%,нет,16%,-1,
4327,яндекс доставка работа курьером,20%,да,34%,-1,
4328,япона матрена суши заказать пермь,90%,нет,63%,0,
4329,зацепи кофе краснодар,100%,нет,29%,-1,
4330,купить апельсины,70%,да,99%,1,
4331,лед купить для коктейлей,60%,да,99%,1,
4332,шашлык лето самара,80%,нет,48%,0,
4333,стрит ролл,10%,да,39%,0,
4334,реутов пипони,70%,нет,45%,0,
4335,ролик суши краснодар,90%,нет,49%,0,
4336,шашлык на заказ с доставкой,90%,да,80%,1,
4337,ресторан базилик,50%,да,47%,0,
4338,шашлык три богатыря,10%,да,23%,-1,
4339,пицца пи,80%,да,38%,0,
4340,доставка рис и рыба,0%,нет,71%,1,
4341,сам пришел,0%,нет,29%,-1,
4342,хинкали поинт,0%,нет,11%,-1,
4343,еда тут,0%,нет,26%,-1,
4344,краснодарский парень саратов,100%,нет,38%,0,
4345,халва купить,30%,да,99%,1,
4346,завтраки спб,60%,нет,32%,-1,
4347,1ff шаверма,0%,нет,38%,0,
4348,фрэнк бай баста санкт петербург,70%,нет,37%,0,
4349,крафт бар серпухов,90%,нет,45%,0,
4350,киров роллы доставка,90%,нет,69%,1,
4351,аристарх периньон краснодар,80%,нет,36%,0,
4352,просуши краснодар заказать,90%,нет,58%,0,
4353,донер 42,0%,нет,16%,-1,
4354,изи пицца,60%,да,24%,-1,
4355,макадамия бутово ресторан,0%,нет,25%,-1,
4356,наполеон кейк,0%,нет,28%,-1,
4357,чикен пицца орел,0%,нет,28%,-1,
4358,киш миш ресторан тюмень,90%,нет,43%,0,
4359,пицца доминос заказать с доставкой москва,60%,нет,56%,0,
4360,кфс черкесск,70%,нет,39%,0,
4361,перекресток заказ продуктов на дом москва,40%,нет,49%,0,
4362,смесь орехов,60%,да,99%,1,
4363,лента креветки,0%,нет,74%,1,
4364,заказать роллы тюмень,90%,нет,100%,1,
4365,пицца 4 этажная,10%,да,35%,0,
4366,теплый ключ кемерово,70%,нет,37%,0,
4367,киров краснодарский парень,90%,нет,37%,0,
4368,соседи ресторан,70%,да,40%,0,
4369,бублик ресторан,70%,да,45%,0,
4370,суши кит,10%,да,38%,0,
4371,пекерсы,0%,нет,49%,0,
4372,цельнозерновой хлеб купить в пятерочке,0%,нет,74%,1,
4373,перец кайенский купить,50%,да,92%,1,
4374,творожная запеканка купить,0%,нет,81%,1,
4375,саквояж беременной шпионки санкт петербург цены меню,50%,нет,59%,0,
4376,яед,0%,нет,8%,-1,
4377,суши мастер нижнекамск,80%,нет,31%,-1,
4378,мамой клянусь долгопрудный,70%,нет,36%,0,
4379,геленджик доставка еды,100%,нет,62%,0,
4380,калуга краснодарский парень,80%,нет,23%,-1,
4381,казань шаурма,90%,нет,37%,0,
4382,яндекс еда красноярск доставка,70%,нет,54%,0,
4383,эшак,0%,нет,10%,-1,
4384,огонек ресторан,80%,да,37%,0,
4385,хинкали и хачапури,0%,нет,38%,0,
4386,золотая роща,0%,нет,35%,0,
4387,папа джонс омск,100%,нет,37%,0,
4388,пенза суши доставка,90%,нет,99%,1,
4389,пицца бразерс,0%,нет,31%,-1,
4390,пицца мама рома,0%,нет,40%,0,
4391,купить куриный бульон,0%,нет,100%,1,
4392,цена барни,0%,нет,91%,1,
4393,перец болгарский красный,0%,нет,49%,0,
4394,бизнес ланч рядом со мной недорого,80%,да,56%,0,
4395,якитория видное,0%,нет,18%,-1,
4396,заказать яндекс доставку,0%,нет,55%,0,
4397,хачапури тетушки марико череповец,70%,нет,53%,0,
4398,паста пицца астрахань,60%,нет,29%,-1,
4399,яндекс еда номер,0%,нет,9%,-1,
4400,кацо екатеринбург,90%,нет,36%,0,
4401,кафе беверли хиллз,0%,нет,12%,-1,
4402,роллы заказать нижний новгород,90%,нет,100%,1,
4403,юла пицца,0%,нет,23%,-1,
4404,суши 4,43%,да,50%,0,
4405,сицилия доставка батайск,80%,нет,64%,0,
4406,заказать чизкейк,0%,нет,100%,1,
4407,ресторан большая кухня,0%,нет,5%,-1,
4408,рамен ролл владимир,60%,нет,27%,-1,
4409,доставка архангельск еды,90%,нет,71%,1,
4410,суши маркет вологда,90%,нет,37%,0,
4411,столовая добрая казань меню,90%,нет,59%,0,
4412,казань ресторан пашмир,70%,нет,37%,0,
4413,еха пицца краснодар,90%,нет,39%,0,
4414,суши ёбидоёби красноярск,90%,нет,32%,-1,
4415,заказать суши в москве,30%,нет,71%,1,
4416,пицца доминос доставка москва,50%,нет,55%,0,
4417,грабли кафе,70%,да,22%,-1,
4418,пироги по коми,30%,нет,40%,0,
4419,язык говяжий цена за 1 кг,0%,нет,93%,1,
4420,суши тула доставка,100%,нет,99%,1,
4421,суши шоп уфа,70%,нет,55%,0,
4422,яндекс еда доставка волгоград,80%,нет,66%,1,
4423,сити бар магнитогорск,80%,нет,30%,-1,
4424,метехи,60%,да,23%,-1,
4425,птичка ресторан,70%,да,32%,-1,
4426,330033 доставка,0%,нет,55%,0,
4427,пицца байкерс пермь,80%,нет,40%,0,
4428,рюмочная номер 1,0%,нет,22%,-1,
4429,каре ягненка купить,70%,да,100%,1,
4430,лапша гречневая купить,40%,да,88%,1,
4431,кафе гвозди воронеж,70%,нет,44%,0,
4432,суши весла краснодар заказать,60%,нет,46%,0,
4433,оренбург просуши,100%,нет,39%,0,
4434,том и ям подольск,90%,нет,38%,0,
4435,спортивное питание батончики,30%,да,99%,1,
4436,горячая штучка чебупицца,0%,нет,36%,0,
4437,где купить соус унаги,20%,да,100%,1,
4438,купить кефир,30%,да,99%,1,
4439,макароны из цельнозерновой муки,0%,нет,72%,1,
4440,ресторан кореана в санкт петербурге,50%,нет,22%,-1,
4441,повар дня чебоксары,90%,нет,61%,0,
4442,франклин бургер меню,0%,нет,63%,0,
4443,green доставка,20%,да,49%,0,
4444,купить тирольские пироги,70%,да,95%,1,
4445,карл фридрих ресторан,0%,нет,15%,-1,
4446,мандарины цена,60%,да,100%,1,
4447,лангустины купить в москве,20%,нет,100%,1,
4448,креветки в панировке купить,0%,нет,97%,1,
4449,кфс тверь,80%,нет,53%,0,
4450,богатырь альметьевск,90%,нет,53%,0,
4451,ессентуки шаверма,100%,нет,36%,0,
4452,автосуши коломна,90%,нет,54%,0,
4453,суши мастер комсомольск на амуре,80%,нет,55%,0,
4454,яндекс еда барнаул,70%,нет,54%,0,
4455,белгород корчма,90%,нет,29%,-1,
4456,номер поддержки яндекс еда,0%,нет,16%,-1,
4457,корнер гриль,40%,да,30%,-1,
4458,ресторан фреско,60%,да,29%,-1,
4459,кафе скворец,70%,да,29%,-1,
4460,чиполучо самара меню,50%,нет,44%,0,
4461,dr живаго,0%,нет,15%,-1,
4462,дрожжи цена,40%,да,100%,1,
4463,смоленск бургер кинг,80%,нет,45%,0,
4464,кфс сочи,80%,нет,45%,0,
4465,доставка бургер кинг санкт петербург,70%,нет,98%,1,
4466,домодедово вкусно и точка,100%,нет,43%,0,
4467,доставка магадан,100%,нет,79%,1,
4468,сергиев посад доставка еды,90%,нет,77%,1,
4469,таганрог кеци,90%,нет,9%,-1,
4470,пицца ташир волжский,90%,нет,36%,0,
4471,мастер фуд челябинск доставка,80%,нет,49%,0,
4472,бокончино,0%,нет,17%,-1,
4473,bruxx,0%,нет,21%,-1,
4474,бургер меню,20%,да,81%,1,
4475,чудо юдо кафе,40%,да,16%,-1,
4476,карло,60%,да,38%,0,
4477,сытый лось меню,0%,нет,26%,-1,
4478,ресторан тифлис,60%,да,50%,0,
4479,шеф маруся и ко санкт петербург,70%,нет,38%,0,
4480,хмели сунели ресторан,50%,да,57%,0,
4481,уксус рисовый где купить,20%,да,84%,1,
4482,фикс прайс посуда,0%,нет,47%,0,
4483,пить кофе меню ростов на дону цены,90%,нет,96%,1,
4484,перец молотый,20%,да,79%,1,
4485,наро фоминск якитория,80%,нет,29%,-1,
4486,ями суши петрозаводск,80%,нет,51%,0,
4487,подсолнухи пироговая официальный сайт,0%,нет,16%,-1,
4488,пицца ташир краснодар,90%,нет,47%,0,
4489,тайга липецк ресторан меню цены,100%,нет,63%,0,
4490,гамбит доставка еды махачкала,80%,нет,65%,0,
4491,меню алло пицца,70%,да,69%,1,
4492,кофе бин,60%,да,29%,-1,
4493,цены кофикс,0%,нет,61%,0,
4494,пицца панчо,0%,нет,16%,-1,
4495,папа джонс москва,80%,нет,30%,-1,
4496,доставка синабон,60%,да,85%,1,
4497,сулико ресторан,60%,да,41%,0,
4498,оренбург доставка суши,90%,нет,56%,0,
4499,яндекс еда вход для ресторанов,0%,нет,19%,-1,
4500,баркад,0%,нет,23%,-1,
4501,рокки пицца ярославль,80%,нет,53%,0,
4502,сушифан краснодар,80%,нет,47%,0,
4503,заказать вкусно и точка с доставкой на дом,60%,да,75%,1,
4504,сгущенное молоко без сахара купить,20%,да,89%,1,
4505,барабулька купить,70%,да,100%,1,
4506,донат еда,0%,нет,8%,-1,
4507,навруз ульяновск,60%,нет,37%,0,
4508,яндекс доставка ярославль еда,80%,нет,49%,0,
4509,рокет пицца калуга,90%,нет,56%,0,
4510,папа джонс липецк,90%,нет,53%,0,
4511,buba by sumosan,0%,нет,37%,0,
4512,джаганат,0%,нет,14%,-1,
4513,заказать пироги штолле в москве,30%,нет,54%,0,
4514,тоттори ресторан,70%,да,30%,-1,
4515,ресторан быковский,0%,нет,33%,-1,
4516,дуо азия ресторан санкт петербург,70%,нет,36%,0,
4517,патисари,0%,нет,30%,-1,
4518,доставка еды круглосуточно спб,100%,нет,55%,0,
4519,пицца хат доставка санкт петербург,80%,нет,46%,0,
4520,где заказать роллы,100%,да,81%,1,
4521,роллы екатеринбург красный дракон,100%,нет,48%,0,
4522,серебряная фабрика,0%,нет,15%,-1,
4523,ресторан марчеллис москва,80%,нет,45%,0,
4524,купить синнабон,60%,да,92%,1,
4525,имбирь бар,0%,нет,15%,-1,
4526,самурай доставка суши,30%,да,62%,0,
4527,крупа кукурузная цена,30%,да,100%,1,
4528,пицца глобус,20%,да,50%,0,
4529,пирожные на заказ,80%,да,100%,1,
4530,круглосуточно доставка еды москва,100%,нет,49%,0,
4531,гриль курица купить,80%,да,60%,0,
4532,санкт петербург доставка пиццы,90%,нет,100%,1,
4533,спб суши маркет,50%,нет,49%,0,
4534,суши маркет спб,60%,нет,39%,0,
4535,ресторан обломов ульяновск,70%,нет,23%,-1,
4536,рокнроллы тамбов,70%,нет,37%,0,
4537,железнодорожный пельменная,90%,нет,43%,0,
4538,мегобари ресторан,70%,да,15%,-1,
4539,машрумс,0%,нет,16%,-1,
4540,охотка,40%,да,25%,-1,
4541,маковка пекарня,50%,да,37%,0,
4542,хинкали и вино москва,70%,нет,37%,0,
4543,меню хочу пури,0%,нет,26%,-1,
4544,зеленая горчица оренбург,80%,нет,31%,-1,
4545,заказать пиццу пермь,90%,нет,100%,1,
4546,кристалл палас ресторан тверь,80%,нет,35%,0,
4547,киноа цена,40%,да,98%,1,
4548,пятерочка выпечка ассортимент,0%,нет,41%,0,
4549,рязань суши стор,70%,нет,46%,0,
4550,ханна роллы саратов,80%,нет,46%,0,
4551,коркунов конфеты купить,30%,да,93%,1,
4552,папаша клаусс,0%,нет,15%,-1,
4553,доставка еды пятигорск,100%,нет,77%,1,
4554,суши атаман кемерово,80%,нет,45%,0,
4555,catch ресторан,70%,да,37%,0,
4556,честная рыба ресторан в москве,10%,нет,35%,0,
4557,интемпо оренбург заказ пиццы,60%,нет,38%,0,
4558,алендвик доставка,0%,нет,49%,0,
4559,доставка восточка,0%,нет,58%,0,
4560,сеньор доннер,0%,нет,8%,-1,
4561,хлебозавод 3,40%,да,54%,0,
4562,ржаная цельнозерновая мука,50%,да,93%,1,
4563,томатный соус купить,30%,да,92%,1,
4564,сэндвич купить,50%,да,99%,1,
4565,ишим март кафе,100%,нет,46%,0,
4566,ставрополь гвоздь,50%,нет,34%,-1,
4567,ямато доставка астрахань,70%,нет,52%,0,
4568,помидор пиццерия челябинск,70%,нет,37%,0,
4569,вкусно и точка екатеринбург меню,0%,нет,85%,1,
4570,липецк шаурма,100%,нет,59%,0,
4571,империя пиццы заказать,70%,да,57%,0,
4572,лаваш кафе,70%,да,43%,0,
4573,la familia,0%,нет,30%,-1,
4574,улан удэ кфс доставка,70%,нет,57%,0,
4575,маккано,0%,нет,41%,0,
4576,свежак,0%,нет,0%,-1,
4577,печенье без глютена и сахара купить,50%,да,99%,1,
4578,пицца доминос самара,80%,нет,50%,0,
4579,добрый гусь саратов,100%,нет,70%,1,
4580,донна пицца заказать саратов,80%,нет,47%,0,
4581,сколько стоит творог,0%,нет,93%,1,
4582,творог сколько стоит,0%,нет,99%,1,
4583,смоленск красный дракон,100%,нет,43%,0,
4584,культура тула,50%,нет,29%,-1,
4585,до скольки работает яндекс доставка,0%,нет,46%,0,
4586,бакинский бульвар сыктывкар,70%,нет,52%,0,
4587,роллы йошкар ола доставка,90%,нет,78%,1,
4588,дон батон,0%,нет,34%,-1,
4589,артель казань ресторан,60%,нет,23%,-1,
4590,бургер кит красноярск,80%,нет,37%,0,
4591,coffee shop,50%,да,29%,-1,
4592,облака кафе,60%,да,37%,0,
4593,суши заказать в нижнем новгороде,20%,нет,100%,1,
4594,биг рашен бургер,0%,нет,20%,-1,
4595,доставка работа,70%,да,33%,-1,
4596,меню грузинские каникулы,30%,да,57%,0,
4597,дикси доставка продуктов на дом подмосковье,10%,да,59%,0,
4598,конфеты пятерочка,10%,да,70%,1,
4599,доставка еды ростов,80%,нет,71%,1,
4600,ресторан самовар ростов на дону,90%,нет,44%,0,
4601,джонни ву самара,70%,нет,30%,-1,
4602,роллтон купить,20%,да,92%,1,
4603,доставка кфс сургут,70%,нет,61%,0,
4604,желейный мармелад,0%,нет,55%,0,
4605,купить мармелад в москве,0%,нет,85%,1,
4606,пироги домой на заказ с доставкой в спб,90%,нет,84%,1,
4607,yami yami доставка еды санкт петербург,50%,нет,41%,0,
4608,папа джонс уфа,100%,нет,44%,0,
4609,доставка еды норильск,90%,нет,78%,1,
4610,барбари ставрополь,80%,нет,30%,-1,
4611,хабаровск золотая птичка,100%,нет,44%,0,
4612,kfc в красноярске,80%,нет,50%,0,
4613,курск роллы доставка,70%,нет,83%,1,
4614,корчма тарас бульба меню,60%,да,57%,0,
4615,мир пиццы меню и цены нижний новгород,60%,нет,48%,0,
4616,тануки доставка суши нижний новгород,70%,нет,70%,1,
4617,да блин,0%,нет,15%,-1,
4618,дуо азия,0%,нет,17%,-1,
4619,мясо и хлеб ресторан меню и цены,0%,нет,67%,1,
4620,ресторан muse москва,60%,нет,36%,0,
4621,вкусвилл череповец,70%,нет,68%,1,
4622,купить торт графские развалины,30%,да,93%,1,
4623,кафе заза владивосток,80%,нет,53%,0,
4624,пицца гранд чехов,80%,нет,61%,0,
4625,митерия тамбов,60%,нет,37%,0,
4626,бруно пицца,0%,нет,38%,0,
4627,pomodoro пицца,60%,да,52%,0,
4628,сыроварня ресторан меню,50%,да,81%,1,
4629,пикник ресторан,20%,да,24%,-1,
4630,пермь пахлава,90%,нет,45%,0,
4631,яндекс еда промокоды кфс,0%,нет,61%,0,
4632,pizzaman,0%,нет,33%,-1,
4633,суши алекс ханты мансийск,70%,нет,47%,0,
4634,мама донна ростов на дону,80%,нет,42%,0,
4635,the most саратов,80%,нет,37%,0,
4636,суши круглосуточная доставка,90%,да,78%,1,
4637,вместо ресто,0%,нет,34%,-1,
4638,тифлис воронеж ресторан,70%,нет,45%,0,
4639,про плов тамбов,80%,нет,22%,-1,
4640,бургер кинг арзамас,80%,нет,44%,0,
4641,иваново краснодарский парень,90%,да,37%,0,
4642,фабрика пицца меню,70%,да,84%,1,
4643,ресторан рассольников,50%,да,30%,-1,
4644,сакура суши доставка нижний новгород,80%,нет,48%,0,
4645,пятерочка доставка еды,20%,да,56%,0,
4646,улыбка радуги казань каталог товаров и цены,30%,нет,89%,1,
4647,роллы заказать спб,70%,нет,100%,1,
4648,кфс меню санкт петербург цены,50%,нет,92%,1,
4649,сербиш санкт петербург ресторан,70%,нет,41%,0,
4650,тюмень кфс доставка,80%,нет,73%,1,
4651,доставка кфс ставрополь,80%,нет,57%,0,
4652,чайхана вологда,100%,нет,29%,-1,
4653,пицца с доставкой челябинск,90%,нет,82%,1,
4654,меню fridays,60%,да,56%,0,
4655,суши сакура новосибирск,60%,нет,38%,0,
4656,яндекс пеший курьер,0%,нет,35%,0,
4657,якитория подольск,60%,нет,29%,-1,
4658,чайхана баракат,40%,да,60%,0,
4659,кфс волжский,70%,нет,59%,0,
4660,меню русские блины,10%,да,52%,0,
4661,доставка продуктов на дом ашан москва,60%,нет,65%,0,
4662,сибас купить,90%,да,100%,1,
4663,дикси доставка продуктов,20%,да,43%,0,
4664,гаврош ресторан ростов на дону,80%,нет,55%,0,
4665,хвосты говяжьи купить,40%,да,100%,1,
4666,купить армянский лаваш,0%,нет,100%,1,
4667,хлеб и мясо ресторан спб меню цены,70%,нет,75%,1,
4668,яндекс еда официальный,0%,нет,31%,-1,
4669,петрозаводск кфс,90%,нет,53%,0,
4670,вкусно и точка солнечногорск,100%,нет,43%,0,
