#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
5029,психиатр детский челябинск,90%,нет,81%,1,
5030,детский уролог челябинск,90%,нет,67%,1,
5031,эстетика дзержинск стоматология,80%,нет,68%,1,
5032,каменск уральский микрохирургия глаза,90%,нет,56%,0,
5033,пластический хирург казань,90%,нет,51%,0,
5034,стоматология кореновск,100%,нет,72%,1,
5035,мрт в кургане адреса цены,100%,нет,73%,1,
5036,психолог курск детский,80%,нет,57%,0,
5037,магнитогорск проктолог,100%,нет,73%,1,
5038,эстетик междуреченск,100%,нет,49%,0,
5039,клинический психолог детский,50%,да,36%,0,
5040,клиника продвижение,40%,да,0%,-1,
5041,продокторов невролог,80%,да,62%,0,
5042,рейтинг роддомов москвы,100%,нет,43%,0,
5043,уролог запись,80%,да,79%,1,
5044,маммолог травина марина львовна,0%,нет,0%,-1,
5045,аллерголог нижний новгород,100%,нет,73%,1,
5046,александров артём александрович,90%,нет,0%,-1,
5047,стоматология в омске недорого и качественно адреса и цены,90%,нет,76%,1,
5048,колоноскопия в ростове на дону цена под наркозом,30%,нет,85%,1,
5049,ваш доктор рубцовск,90%,нет,50%,0,
5050,продокторов рязань сайт официальный,50%,нет,28%,-1,
5051,педиатр рязань,100%,нет,73%,1,
5052,сафоново детская поликлиника,80%,нет,49%,0,
5053,8 мсч,13%,да,7%,-1,
5054,иващенко серпухов,70%,нет,0%,-1,
5055,щелково невролог,0%,нет,61%,0,
5056,гуру клиник сочи,80%,нет,43%,0,
5057,больница 20 спб,89%,нет,49%,0,
5058,ставрополь офтальмолог,100%,нет,66%,1,
5059,невролог жукова ставрополь,100%,нет,44%,0,
5060,спортивный диспансер тула,60%,нет,42%,0,
5061,тула феникс,60%,нет,47%,0,
5062,ортодонт детский ярославль,100%,нет,63%,0,
5063,роддом белгород на архиерейской,80%,нет,42%,0,
5064,цена мрт головы казань,100%,нет,98%,1,
5065,окулист казань,90%,нет,61%,0,
5066,казань лор врач,90%,нет,64%,0,
5067,детская поликлиника 2 краснодар восточно кругликовская,90%,нет,56%,0,
5068,народная стоматология краснодар 40 лет победы,60%,нет,54%,0,
5069,курск челюстно лицевой хирург,100%,нет,73%,1,
5070,дерматолог магнитогорск,100%,нет,65%,0,
5071,мрт в махачкале,100%,нет,69%,1,
5072,нижнекамск невролог,80%,нет,70%,1,
5073,сосудистый хирург нижний новгород,90%,нет,73%,1,
5074,клиника здоровья новочеркасск,80%,нет,35%,0,
5075,невролог новочеркасск,100%,нет,74%,1,
5076,нейрохирург новокузнецк,90%,нет,58%,0,
5077,психиатр новокузнецк,100%,нет,77%,1,
5078,новотроицк женская консультация,100%,нет,48%,0,
5079,омск косметология,100%,нет,75%,1,
5080,дзержинского медцентр орехово зуево,100%,нет,68%,1,
5081,ортопед травматолог пенза,90%,нет,60%,0,
5082,сурдолог рязань,90%,нет,81%,1,
5083,гастроэнтеролог рыбинск,90%,нет,94%,1,
5084,самара детский аллерголог,100%,нет,81%,1,
5085,детский дерматолог саратов,100%,нет,80%,1,
5086,психотерапевт севастополь,0%,нет,53%,0,
5087,клиника фемина симферополь,0%,нет,11%,-1,
5088,сурдолог ставрополь,90%,нет,57%,0,
5089,мрт в сыктывкаре цены и адреса,40%,нет,85%,1,
5090,троицк ран,80%,нет,49%,0,
5091,тюмень поликлиника 14,100%,нет,57%,0,
5092,ульяновск студенческая поликлиника,70%,нет,42%,0,
5093,детский кардиолог воронеж,80%,нет,95%,1,
5094,жуковский медцентр,100%,нет,66%,1,
5095,рейтинг мануальных терапевтов белгорода,90%,нет,59%,0,
5096,чистополь детская поликлиника,60%,нет,49%,0,
5097,домодедово невролог,100%,нет,91%,1,
5098,центр диагностики дзержинск буденного 2б,70%,нет,31%,-1,
5099,уролог детский екатеринбург,80%,нет,65%,0,
5100,первая клиника энгельс,90%,нет,45%,0,
5101,лор детский ижевск,90%,нет,81%,1,
5102,стоматология белый жемчуг каменск уральский,90%,нет,58%,0,
5103,лор эксперт кемерово,70%,нет,28%,-1,
5104,охапкина анастасия сергеевна гинеколог киров,80%,нет,57%,0,
5105,медицинский центр андромеда комсомольск на амуре,80%,нет,0%,-1,
5106,ортопед кострома,100%,нет,57%,0,
5107,7 взрослая поликлиника курск,80%,нет,49%,0,
5108,где сделать фгдс,100%,да,60%,0,
5109,стоматология калинина,20%,да,14%,-1,
5110,невролог нальчик,100%,нет,58%,0,
5111,мрт в нижнем тагиле адреса цены,90%,нет,89%,1,
5112,косметология новосибирск,100%,нет,70%,1,
5113,оренбург терапевт,100%,нет,73%,1,
5114,областная больница орел,0%,нет,12%,-1,
5115,онколог пенза,100%,нет,75%,1,
5116,пермь аллерголог,100%,нет,74%,1,
5117,травматолог ортопед пермь,100%,нет,74%,1,
5118,эндокринолог ростов,70%,нет,58%,0,
5119,роддом 2 ростов на дону,50%,нет,29%,-1,
5120,сочи узи,100%,нет,83%,1,
5121,детский ортопед санкт петербург,80%,нет,69%,1,
5122,гематолог санкт петербург,100%,нет,64%,0,
5123,косметолог ставрополь,100%,нет,64%,0,
5124,сысерть стоматология,90%,нет,71%,1,
5125,про докторов тамбов официальный сайт,60%,нет,28%,-1,
5126,хирург тольятти,100%,нет,65%,0,
5127,пульмонолог тольятти,100%,нет,65%,0,
5128,стоматология тверь улыбка,80%,нет,64%,0,
5129,продокторов ру тюмень,50%,нет,28%,-1,
5130,онколог волгоград,100%,нет,88%,1,
5131,ярославль остеопат,100%,нет,58%,0,
5132,написать отзыв о враче,0%,нет,6%,-1,
5133,узи армавир,100%,нет,77%,1,
5134,барнаул стоматологическая поликлиника 1,80%,нет,67%,1,
5135,белая калитва детская поликлиника,0%,нет,10%,-1,
5136,нейрохирург белгород,90%,нет,68%,1,
5137,стоматология жемчуг белгород,70%,нет,42%,0,
5138,ортопед чебоксары,90%,нет,58%,0,
5139,ивантеевская поликлиника,60%,да,42%,0,
5140,стоматолог детский калуга,90%,нет,70%,1,
5141,калуга маммолог,100%,нет,90%,1,
5142,кдц авиастроительного района платные услуги,0%,нет,79%,1,
5143,мрт в костроме цены и адреса,100%,нет,76%,1,
5144,кострома лор,100%,нет,72%,1,
5145,гинеколог ковров,80%,да,98%,1,
5146,ковров первый медицинский центр,30%,да,35%,0,
5147,клиника екатерининская на герцена,0%,нет,28%,-1,
5148,венеролог краснодар,100%,нет,72%,1,
5149,мрт в красногорске,100%,нет,69%,1,
5150,травматолог ортопед красноярск,100%,нет,58%,0,
5151,курган уролог,90%,нет,66%,1,
5152,мрт в липецке адреса и телефоны стоимость,100%,нет,63%,0,
5153,остеопатия отзывы,40%,да,27%,-1,
5154,госпиталь фсб,80%,да,0%,-1,
5155,онколог маммолог москва,90%,нет,54%,0,
5156,акиньшина светлана,0%,нет,9%,-1,
5157,кардава инна васильевна,0%,нет,6%,-1,
5158,стоматология эстетика новосибирск,100%,нет,41%,0,
5159,мрт головы в омске цена,100%,нет,99%,1,
5160,омск мсч 7,88%,нет,35%,0,
5161,андролог пермь,90%,нет,66%,1,
5162,уролог подольск,100%,нет,67%,1,
5163,центр бубновского пятигорск,70%,нет,49%,0,
5164,нефролог ростов на дону,100%,нет,73%,1,
5165,пластический хирург саратов,90%,нет,57%,0,
5166,эвидент биокомбинат,10%,да,37%,0,
5167,стоматология оптима смоленск,80%,нет,64%,0,
5168,уролог старый оскол,100%,нет,64%,0,
5169,лор детский ставрополь,100%,нет,64%,0,
5170,ставрополь флеболог,100%,нет,63%,0,
5171,сосудистый хирург ставрополь,100%,нет,75%,1,
5172,районная поликлиника стерлитамак,90%,нет,56%,0,
5173,эксперт мрт томск,80%,нет,62%,0,
5174,гастроэнтеролог тюмень взрослый,100%,нет,73%,1,
5175,ортодонт тюмень,100%,нет,50%,0,
5176,гнатолог уфа,80%,нет,68%,1,
5177,медэксперт цены воронеж,80%,нет,79%,1,
5178,стоматология детская воронеж ворошилова,70%,нет,42%,0,
5179,ангарск мсч 36,90%,нет,60%,0,
5180,огбуз белгородский областной онкологический диспансер,70%,да,28%,-1,
5181,витэра белгород,80%,нет,58%,0,
5182,про докторов брянск официальный сайт,70%,нет,28%,-1,
5183,детский кардиолог чебоксары,90%,нет,57%,0,
5184,пульмонолог детский екатеринбург,80%,нет,92%,1,
5185,сосудистый хирург в екатеринбурге,90%,нет,63%,0,
5186,поликлиника детская электросталь,80%,нет,49%,0,
5187,аллерголог иркутск,90%,нет,60%,0,
5188,клиника гиппократ иваново,80%,нет,51%,0,
5189,косметолог калуга,100%,нет,73%,1,
5190,остеопат казань детский,100%,нет,64%,0,
5191,стоматология атарбекова детская краснодар,50%,нет,49%,0,
5192,детский хирург красноярск,100%,нет,65%,0,
5193,кардиолог детский липецк,80%,нет,95%,1,
5194,минусинск детская стоматология,90%,нет,81%,1,
5195,дерматолог детский платный,90%,да,66%,1,
5196,нео мед,50%,да,38%,0,
5197,отзывы перинатальный центр,60%,да,0%,-1,
5198,проктолог на дом,80%,да,91%,1,
5199,олег наильевич карымов,0%,нет,5%,-1,
5200,царьков,0%,нет,0%,-1,
5201,авиценна набережные челны цены,0%,нет,74%,1,
5202,стоматолог детский нижний новгород,100%,нет,57%,0,
5203,гинеколог обнинск,90%,нет,71%,1,
5204,гематолог оренбург,80%,нет,77%,1,
5205,нейрохирург оренбург,100%,нет,75%,1,
5206,орел кардиолог,0%,нет,21%,-1,
5207,гематолог пермь,100%,нет,75%,1,
5208,проктолог псков,90%,нет,84%,1,
5209,психиатр детский ростов на дону,100%,нет,90%,1,
5210,семейный медицинский центр ростов на дону на комарова,80%,нет,51%,0,
5211,стоматология октябрь ростов на дону,100%,нет,68%,1,
5212,15 поликлиника саратов,90%,нет,63%,0,
5213,поликлиника североморск ломоносова,100%,нет,56%,0,
5214,лор щелково,10%,да,60%,0,
5215,шаумяна 51 поликлиника,0%,нет,9%,-1,
5216,маммолог тамбов,100%,нет,73%,1,
5217,тюмень детский психиатр,80%,нет,59%,0,
5218,тюмень травматолог ортопед,90%,нет,77%,1,
5219,узи владивосток,90%,нет,83%,1,
5220,гастромед волгодонск,50%,нет,37%,0,
5221,гематолог волгоград,90%,нет,88%,1,
5222,чудо доктор воронеж,100%,нет,69%,1,
5223,воронеж гинекология,100%,нет,67%,1,
5224,клиника доктора богородской,0%,нет,41%,0,
5225,жуковский лор,100%,нет,73%,1,
5226,бийск 4 больница,88%,нет,28%,-1,
5227,брянск феникс,80%,нет,43%,0,
5228,маммолог брянск,90%,нет,74%,1,
5229,пульмонолог челябинск детский,100%,нет,77%,1,
5230,челябинск санаторий изумруд,80%,нет,51%,0,
5231,ортодонт челябинск,100%,нет,57%,0,
5232,эндокринолог дзержинск,100%,нет,73%,1,
5233,аист казань,100%,нет,35%,0,
5234,кожвендиспансер краснодар рашпилевская,70%,нет,61%,0,
5235,красноярск солнечный стоматология,90%,нет,57%,0,
5236,курск семья и здоровье,80%,нет,49%,0,
5237,детская поликлиника 4 курск,80%,нет,0%,-1,
5238,ортопед курск,90%,нет,77%,1,
5239,лобня гинеколог,100%,нет,95%,1,
5240,стоматология либерти люберцы,90%,нет,68%,1,
5241,уролог 18,70%,да,64%,0,
5242,городская больница no 20,70%,да,35%,0,
5243,северная больница,70%,да,0%,-1,
5244,менделеев клиника стоматология,0%,нет,5%,-1,
5245,чарчян эдуард рафаэлович,10%,да,9%,-1,
5246,мануальный терапевт мытищи,100%,нет,63%,0,
5247,узи брюшной полости набережные челны,0%,нет,67%,1,
5248,гинеколог нефтекамск,90%,нет,84%,1,
5249,дерматолог новосибирск детский,100%,нет,72%,1,
5250,окулист в новосибирске,50%,нет,50%,0,
5251,орск гинеколог,100%,нет,65%,0,
5252,пермь сурдолог,90%,нет,77%,1,
5253,неврологическая клиника петропавловск камчатский,60%,нет,0%,-1,
5254,пушкино психоневрологический диспансер,90%,нет,0%,-1,
5255,узи пятигорск,100%,нет,73%,1,
5256,мрт в севастополе адреса и цены,0%,нет,73%,1,
5257,гериатрический центр на фонтанке,0%,нет,12%,-1,
5258,справка в бассейн спб,90%,нет,35%,0,
5259,эндокринолог стерлитамак,100%,нет,77%,1,
5260,гинеколог сызрань,90%,нет,64%,0,
5261,узи сердца ульяновск,90%,нет,77%,1,
5262,детская поликлиника 6 на тюленева ульяновск,90%,нет,0%,-1,
5263,стоматолог владивосток,100%,нет,77%,1,
5264,афина волгоград красноармейский медицинский центр,100%,нет,65%,0,
5265,колоноскопия в воронеже цены,60%,нет,91%,1,
5266,женская консультация 4 поликлиника воронеж,63%,нет,36%,0,
5267,армавир гинеколог,90%,нет,65%,0,
5268,мрт в астрахани цены и адреса,100%,нет,73%,1,
5269,ортодонт белгород,100%,нет,57%,0,
5270,гастроэнтеролог челябинск взрослый,100%,нет,66%,1,
5271,луначарского стоматология екатеринбург 171,90%,нет,57%,0,
5272,дерматолог хабаровск детский,100%,нет,67%,1,
5273,клинико диагностический центр хабаровск,100%,нет,50%,0,
5274,дерматолог химки,100%,нет,65%,0,
5275,центр планирования семьи калининград,100%,нет,81%,1,
5276,калуга детская поликлиника на вилонова,100%,нет,73%,1,
5277,зубик кострома,90%,нет,68%,1,
5278,краснодар центр лазерной медицины,80%,нет,68%,1,
5279,4 роддом краснодар адрес,90%,нет,56%,0,
5280,инфекционист красноярск,100%,нет,65%,0,
5281,городская 10 больница,90%,да,50%,0,
5282,поликлиника 124,86%,да,0%,-1,
5283,148 детская поликлиника,71%,да,24%,-1,
5284,антон герасимович назаренко,0%,нет,1%,-1,
5285,ольга лобко эндокринолог,50%,да,30%,-1,
5286,имплантация зубов в ростове на дону цены,10%,нет,90%,1,
5287,лор детский смоленск,100%,нет,77%,1,
5288,деметра клиника смоленск,80%,нет,50%,0,
5289,флюорография ставрополь,100%,нет,80%,1,
5290,взрослая поликлиника ступино,90%,нет,71%,1,
5291,психиатр тольятти,100%,нет,64%,0,
5292,стоматология тольятти центральный район,100%,нет,66%,1,
5293,эндокринолог владикавказ,90%,нет,58%,0,
5294,гбуз республиканский кожно венерологический диспансер,0%,нет,1%,-1,
5295,детская стоматология великий новгород,100%,нет,70%,1,
5296,волгоград окулист,90%,нет,73%,1,
5297,поликлиника 2 южно сахалинск,75%,да,31%,-1,
5298,балаково дерматолог,80%,нет,70%,1,
5299,биробиджан областная больница,70%,нет,44%,0,
5300,кожвендиспансер брянск пер авиационный,80%,нет,0%,-1,
5301,тонус дзержинск,80%,нет,58%,0,
5302,областная больница платное отделение,0%,нет,86%,1,
5303,клиника эксперт иркутск цены,90%,нет,89%,1,
5304,ижевск стоматология 40 лет победы,70%,нет,0%,-1,
5305,детский гастроэнтеролог киров,90%,нет,73%,1,
5306,коломна дерматолог,100%,нет,92%,1,
5307,ковров детский хирург,80%,да,50%,0,
5308,детская поликлиника кулебаки,90%,нет,56%,0,
5309,липецк детский гинеколог,70%,нет,88%,1,
5310,1 поликлиника платные услуги,40%,да,99%,1,
5311,65 стоматология митино,63%,да,0%,-1,
5312,врачи урологи,90%,да,58%,0,
5313,ягудаев даниэль меерович,0%,нет,2%,-1,
5314,иванова наталья владимировна,50%,да,35%,0,
5315,гастроэнтеролог горячева ольга александровна,40%,да,29%,-1,
5316,поликлиника 2 борисовка мытищи,80%,нет,44%,0,
5317,нижняя тура микрохирургия глаза,0%,нет,17%,-1,
5318,тонус на ижорской,0%,нет,13%,-1,
5319,дерматолог новочеркасск,100%,нет,74%,1,
5320,доктор ост новосибирск отзывы и цены,70%,нет,58%,0,
5321,косметолог оренбург,90%,нет,51%,0,
5322,стоматология пенза маяк,80%,нет,56%,0,
5323,гастроэнтеролог пермь взрослый,100%,нет,74%,1,
5324,дерматолог детский самара,100%,нет,73%,1,
5325,саратов клиника глазных болезней,60%,нет,36%,0,
5326,госпиталь вишневского сергиев посад,100%,нет,78%,1,
5327,дерматолог шахты,0%,нет,26%,-1,
5328,детская поликлиника фрунзе,0%,нет,0%,-1,
5329,продокторов ру смоленск,80%,нет,42%,0,
5330,смоленск женская консультация,80%,нет,65%,0,
5331,поликлиника 40 для творческих работников,0%,нет,12%,-1,
5332,лахта клиника на ковенском,0%,нет,2%,-1,
5333,ортопед тамбов,100%,нет,76%,1,
5334,ульяновск травматолог,100%,нет,72%,1,
5335,левченко дмитрий николаевич невролог волгоград,90%,нет,50%,0,
5336,аллерголог воронеж детский,80%,нет,93%,1,
5337,окулист детский воронеж,100%,нет,77%,1,
5338,узи брюшной полости воронеж,100%,нет,71%,1,
5339,вайцеховского 4 онкологический диспансер воронеж,60%,нет,60%,0,
5340,ярославль ортодонт,100%,нет,63%,0,
5341,ортопед детский йошкар ола,100%,нет,64%,0,
5342,дерматолог абакан,100%,нет,64%,0,
5343,салюсмед белая калитва,0%,нет,24%,-1,
5344,окулист белгород,90%,нет,71%,1,
5345,црб белореченск,60%,нет,35%,0,
5346,стоматолог дзержинск,100%,нет,70%,1,
5347,семья электроугли,60%,нет,47%,0,
5348,иркутск челюстно лицевая хирургия,70%,нет,49%,0,
5349,1 детская поликлиника иркутск на трилиссера,80%,нет,45%,0,
5350,узловая больница канаш,100%,нет,49%,0,
5351,казань продокторов сайт официальный,60%,нет,28%,-1,
5352,детский ортопед кемерово,100%,нет,64%,0,
5353,гкб им демихова,30%,да,21%,-1,
5354,врачи москвы,100%,нет,58%,0,
5355,нейрохирург мурманск,100%,нет,76%,1,
5356,эндокринолог нижневартовск,100%,нет,68%,1,
5357,нижний тагил кт,100%,нет,75%,1,
5358,детский гинеколог в нижнем новгороде,50%,нет,85%,1,
5359,жд поликлиника новоалтайск,90%,нет,57%,0,
5360,детский лор новокузнецк,100%,нет,72%,1,
5361,лор одинцово,100%,нет,74%,1,
5362,пенза детский психиатр,80%,нет,70%,1,
5363,клиника фомина телефон пенза,90%,нет,44%,0,
5364,клиника фомина пенза отзывы,70%,нет,9%,-1,
5365,флюорография платно пермь,90%,нет,82%,1,
5366,флюорография пермь платно,90%,нет,82%,1,
5367,профессионал стоматология подольск,90%,нет,55%,0,
5368,невролог раменское,40%,нет,73%,1,
5369,сурдологический центр саратов,80%,нет,56%,0,
5370,татьяна парфиренко,0%,нет,14%,-1,
5371,тамбов травмпункт взрослый,90%,нет,65%,0,
5372,ревматолог томск,90%,нет,58%,0,
5373,челюстно лицевой хирург тюмень,90%,нет,86%,1,
5374,уссурийск клиника возрождение,50%,нет,35%,0,
5375,маргоша волгоград клиника детская,40%,нет,0%,-1,
5376,узи сердца цена воронеж,100%,нет,97%,1,
5377,поликлиника стоматологическая воронеж,90%,нет,65%,0,
5378,воронеж удаление папиллом,80%,нет,76%,1,
5379,медцентр единица йошкар ола,60%,нет,47%,0,
5380,анапа гастроэнтеролог,100%,нет,90%,1,
5381,гинеколог ангарск,90%,нет,77%,1,
5382,барнаул железнодорожная поликлиника,80%,нет,45%,0,
5383,биробиджан поликлиника,100%,нет,71%,1,
5384,поликлиника 10 детская дзержинск,90%,нет,0%,-1,
5385,ейск детская стоматология,70%,нет,58%,0,
5386,электросталь женская консультация,90%,нет,58%,0,
5387,гастроэнтеролог хабаровск детский,100%,нет,74%,1,
5388,клиника казань,80%,нет,49%,0,
5389,киров косметолог,100%,нет,54%,0,
5390,психиатр киров,100%,нет,64%,0,
5391,психиатрическая больница краснодар 7,75%,нет,45%,0,
5392,медсправка для водительских прав в краснодаре,70%,нет,70%,1,
5393,красногорск детская стоматология,100%,нет,70%,1,
5394,хирург курск,90%,нет,63%,0,
5395,маэстро стоматология курск,80%,нет,58%,0,
5396,семья стоматология лобня,90%,нет,45%,0,
5397,диагностический центр магнитогорск набережная 18 платные услуги цены,90%,нет,88%,1,
5398,центр на юго западной мануальной терапии,70%,да,0%,-1,
5399,доктор проф,60%,да,41%,0,
5400,карасов альберт баймурзович,0%,нет,1%,-1,
5401,кузьмичев сергей,0%,нет,0%,-1,
5402,сапфир стоматология оренбург,90%,нет,54%,0,
5403,медиклиник пенза на антонова,70%,нет,42%,0,
5404,мрт про рославль услуги,90%,нет,74%,1,
5405,кардиолог детский рязань,100%,нет,77%,1,
5406,серпухов гастроэнтеролог,90%,нет,70%,1,
5407,больница семашко серпухов,70%,нет,0%,-1,
5408,солнечногорск госпиталь военный,90%,нет,49%,0,
5409,невролог в спб,100%,нет,67%,1,
5410,сомнолог спб,100%,нет,75%,1,
5411,хоспис для онкологических больных в спб адреса,100%,нет,71%,1,
5412,медицинский центр тамбов,100%,нет,72%,1,
5413,нейрохирург тольятти,80%,нет,61%,0,
5414,военный госпиталь уссурийск,80%,нет,0%,-1,
5415,офтальмолог во владимире,100%,нет,73%,1,
5416,владивосток женская консультация,80%,нет,58%,0,
5417,андролог воронеж,100%,нет,93%,1,
5418,офтальмолог ярославль детский,90%,нет,63%,0,
5419,гастроэнтеролог зеленоград,0%,нет,88%,1,
5420,уролог анапа,90%,нет,85%,1,
5421,стоматология на свердлова,20%,да,38%,0,
5422,жд больница белово,90%,нет,42%,0,
5423,дзержинск гастроэнтеролог,100%,нет,73%,1,
5424,продокторов ру екатеринбург,60%,нет,35%,0,
5425,детская поликлиника электросталь журавлева,80%,нет,56%,0,
5426,энгельс мрт,100%,нет,59%,0,
5427,иркутск детский стоматолог,90%,нет,63%,0,
5428,кардиолог ижевск,90%,нет,50%,0,
5429,гинеколог детский казань,90%,нет,96%,1,
5430,3 поликлиника кемерово,60%,нет,42%,0,
5431,кемерово трихолог,90%,нет,73%,1,
5432,поликлиника 27 детская краснодар,70%,нет,46%,0,
5433,стоматология гидростроителей краснодар,70%,нет,53%,0,
5434,университетская клиника красноярск,80%,нет,49%,0,
5435,курск педиатр,100%,нет,65%,0,
5436,липецк центр лечения боли,70%,нет,46%,0,
5437,17 пнд,60%,да,42%,0,
5438,инфекционная больница 23,60%,да,33%,-1,
5439,роддом 1 на планерной,70%,да,0%,-1,
5440,статус стоматология,70%,да,31%,-1,
5441,восстановление девственности цена,70%,да,99%,1,
5442,журенко сергей геннадьевич,0%,нет,0%,-1,
5443,персона комсомольская площадь нижний новгород,90%,нет,61%,0,
5444,венеролог новосибирск,100%,нет,72%,1,
5445,омск стоматология скульптор,90%,нет,64%,0,
5446,сурдолог пенза,100%,нет,65%,0,
5447,госпиталь пермь военный,80%,нет,0%,-1,
5448,пятигорск лор,100%,нет,73%,1,
5449,пульмонолог ростов на дону,100%,нет,84%,1,
5450,стоматология саратов заводской район,100%,нет,63%,0,
5451,31 поликлиника московского района детская,88%,нет,0%,-1,
5452,116 поликлиника на асафьева,0%,нет,9%,-1,
5453,акушер тверь,100%,нет,78%,1,
5454,стоматолог детский тюмень,90%,нет,62%,0,
5455,инфекционист уфа,100%,нет,78%,1,
5456,областной роддом ульяновск,80%,нет,35%,0,
5457,ульяновск остеопат,90%,нет,50%,0,
5458,волгодонск женская консультация,90%,нет,56%,0,
5459,детский кардиолог волгоград,100%,нет,94%,1,
5460,хирург вологда,90%,нет,59%,0,
5461,стоматолог йошкар ола,100%,нет,71%,1,
5462,арзамас больница владимирского,80%,нет,49%,0,
5463,бахчисарай инвитро,0%,нет,30%,-1,
5464,детский кардиолог белгород,90%,нет,83%,1,
5465,мрт в чебоксарах цены,90%,нет,97%,1,
5466,челюстно лицевой хирург челябинск,90%,нет,57%,0,
5467,онколог челябинск,100%,нет,64%,0,
5468,байкальская чита стоматология,80%,нет,56%,0,
5469,наркологический диспансер электросталь,90%,нет,64%,0,
5470,трихолог хабаровск,100%,нет,69%,1,
5471,нейрохирург иваново,100%,нет,89%,1,
5472,калуга травматолог,80%,нет,65%,0,
5473,кострома детский ортопед,90%,нет,70%,1,
5474,гинекология краснодар,100%,нет,60%,0,
5475,краснодар стоматологии,90%,нет,70%,1,
5476,лор детский красноярск,100%,нет,78%,1,
5477,узи брюшной полости красноярск цена,80%,нет,94%,1,
5478,курск детский дерматолог,100%,нет,72%,1,
5479,3 поликлиника курск детская на энергетиков,90%,нет,0%,-1,
5480,липецк детский офтальмолог,70%,нет,75%,1,
5481,мануальный терапевт липецк,100%,нет,50%,0,
5482,женская консультация махачкала 2,100%,нет,57%,0,
5483,енисейская 2 корп 2 женская консультация,80%,да,0%,-1,
5484,пнд красносельского района,20%,да,0%,-1,
5485,дгп 18,60%,да,0%,-1,
5486,отзывы о врачах москвы,90%,нет,50%,0,
5487,николай александрович коновалов нейрохирург,0%,нет,4%,-1,
5488,полехин александр викторович,0%,нет,6%,-1,
5489,екатерина скоробогатова,0%,нет,8%,-1,
5490,рудакова виктория,0%,нет,0%,-1,
5491,мрт челны,0%,нет,62%,0,
5492,дмитрий викторович нефтегорск,60%,нет,0%,-1,
5493,нижний тагил уролог,90%,нет,57%,0,
5494,клиника александрия нижний новгород проспект гагарина 50,100%,нет,78%,1,
5495,солнцев виктор владимирович нижний новгород,80%,нет,28%,-1,
5496,уролог новочеркасск,100%,нет,79%,1,
5497,узи щитовидной железы в новосибирске цены,0%,нет,90%,1,
5498,доктор ост новосибирск отзывы,60%,нет,0%,-1,
5499,лада новосибирск медицинский центр,50%,нет,48%,0,
5500,новосибирск медицинский центр,90%,нет,55%,0,
5501,пульмонолог омск,100%,нет,68%,1,
5502,логопед пенза,80%,нет,62%,0,
5503,дерматолог рязань взрослый,90%,нет,76%,1,
5504,невролог саратов взрослый,100%,нет,73%,1,
5505,окулист тольятти,90%,нет,70%,1,
5506,тюмень сосудистый хирург,100%,нет,65%,0,
5507,медиаленд ульяновск,70%,нет,26%,-1,
5508,гематолог во владимире,90%,нет,81%,1,
5509,фгдс владивосток,100%,нет,81%,1,
5510,волгоград стоматология на тулака,90%,нет,70%,1,
5511,стоматология волгоград советский район,90%,нет,58%,0,
5512,вологда гастроэнтеролог взрослый,90%,нет,71%,1,
5513,аборт воронеж,60%,нет,92%,1,
5514,медцентр железнодорожный,100%,нет,73%,1,
5515,стоматология алексин,100%,нет,81%,1,
5516,бийск невролог,100%,нет,50%,0,
5517,перинатальный центр брянск бежица официальный сайт,50%,нет,35%,0,
5518,детская поликлиника бузулук,90%,нет,85%,1,
5519,инфекционист екатеринбург,100%,нет,71%,1,
5520,екатеринбург поликлиника 23,57%,нет,0%,-1,
5521,хирург иваново,100%,нет,65%,0,
5522,каменка авиценна,90%,нет,64%,0,
5523,детская поликлиника кандалакша,80%,нет,0%,-1,
5524,уролог детский казань,80%,нет,86%,1,
5525,стоматология казань круглосуточно,90%,нет,56%,0,
5526,аборт казань,80%,нет,92%,1,
5527,лор детский кострома,100%,нет,72%,1,
5528,краснодар 5 роддом адрес,90%,нет,0%,-1,
5529,травматолог красноярск,100%,нет,58%,0,
5530,медицинский центр здоровье крымск,90%,нет,50%,0,
5531,про докторов курган,80%,нет,49%,0,
5532,пульмонолог детский курск,90%,нет,89%,1,
5533,невролог магнитогорск взрослый,100%,нет,72%,1,
5534,проктолог в махачкале,100%,нет,80%,1,
5535,эпилептолог в москве,70%,нет,52%,0,
5536,14 гкб,70%,да,42%,0,
5537,жулебино стоматология преамбула,0%,нет,28%,-1,
5538,клиника асмаевой нижневартовск,80%,нет,49%,0,
5539,лор врач в нижнем новгороде,70%,нет,56%,0,
5540,стоматолог новороссийск,100%,нет,70%,1,
5541,дерматолог обнинск,90%,нет,86%,1,
5542,медмикс пенза на антонова,70%,нет,44%,0,
5543,психоневрологический диспансер раменское,70%,нет,49%,0,
5544,частная клиника северск коммунистический 151 сайт,100%,нет,49%,0,
5545,пульмонолог симферополь,0%,нет,10%,-1,
5546,март медицинский центр тамбов,70%,нет,61%,0,
5547,ева клиника тимашевск,0%,нет,22%,-1,
5548,эндокринолог гинеколог тверь,100%,нет,74%,1,
5549,тюмень сурдолог,100%,нет,77%,1,
5550,тюмень стоматологии,90%,нет,59%,0,
5551,окулист вологда,100%,нет,50%,0,
5552,стоматология смайл йошкар ола,60%,нет,58%,0,
